drug_name,g2032r_score,wt_score,met_score,composite_score,mw,tpsa,clogp,cns_mpo,cns_penetrant,target,is_known_ros1_tki,is_candidate,source
Rilpivirine Hydrochloride,-8.94,,,-8.94,366.4,97.4,4.99,3.32,False,Reverse Transcriptase,False,True,selleckchem_L1300
Prulifloxacin (NM441),-8.94,,,-8.94,461.5,109.1,2.64,3.71,False,COVID-19,False,True,selleckchem_L1300
Domperidone,-8.43,,,-8.93,425.9,78.8,3.35,4.28,True,Dopamine Receptor,False,False,selleckchem_L1300
Indacaterol,-8.43,,,-8.93,392.5,85.4,3.15,4.04,False,Adrenergic Receptor,False,False,selleckchem_L1300
Niraparib (MK-4827),-8.43,,,-8.93,320.4,72.9,2.59,5.25,True,"Apoptosis related,PARP",False,False,selleckchem_L1300
Rilpivirine,-8.93,,,-8.93,366.4,97.4,4.99,3.32,False,Reverse Transcriptase,False,True,selleckchem_L1300
Sodium tauroglycocholate,-8.92,,,-8.92,571.8,176.1,1.14,1.5,False,Others,False,True,selleckchem_L1300
NAD+,-8.92,,,-8.92,663.4,321.1,-3.65,1.5,False,Others,False,True,selleckchem_L1300
Norgestimate,-8.42,,,-8.92,369.5,58.9,4.71,4.36,True,Estrogen/progestogen Receptor,False,False,selleckchem_L1300
Regorafenib (BAY-734506) Monohydrate,-8.9,,,-8.9,482.8,92.3,5.69,1.82,False,"c-Kit,c-RET,PDGFR,Raf,VEGFR",False,True,selleckchem_L1300
(+/-)-Sulfinpyrazone,-8.4,,,-8.9,404.5,57.7,3.8,4.93,True,COX,False,False,selleckchem_L1300
Dexamethasone (MK-125),-8.4,,,-8.9,392.5,94.8,1.9,4.16,False,"Autophagy,Complement System,COVID-19,Glucocorticoid Receptor,IL Receptor,Mitophagy",False,False,selleckchem_L1300
Tirbanibulin,-8.4,,,-8.9,431.5,63.7,3.32,4.74,True,Src,False,False,selleckchem_L1300
Ketoconazole (R 41400),-8.9,,,-8.9,531.4,69.1,4.21,3.6,False,"Androgen Receptor,Fungal,P450 (e.g. CYP17)",False,True,selleckchem_L1300
repotrectinib,-7.891,-7.473,-8.677,-8.891,301.3,80.5,2.9,5.25,False,ROS1,True,False,control
Naloxone HCl,-8.39,,,-8.89,327.4,70.0,1.3,5.25,True,Opioid Receptor,False,False,selleckchem_L1300
Rotenone (Barbasco),-8.39,,,-8.89,394.4,63.2,3.7,5.1,True,"Apoptosis related,Mitochondrial Metabolism,Mitophagy,NADPH-oxidase,ROS",False,False,selleckchem_L1300
Indigo,-8.39,,,-8.89,262.3,58.2,2.81,5.25,True,Dyes,False,False,selleckchem_L1300
Flibanserin,-8.39,,,-8.89,390.4,44.3,3.17,5.3,True,5-HT Receptor,False,False,selleckchem_L1300
Flavin Adenine Dinucleotide Disodium,-8.89,,,-8.89,785.6,362.9,-2.42,1.5,False,Others,False,True,selleckchem_L1300
Posaconazole (SCH 56592),-8.89,,,-8.89,700.8,115.7,4.57,1.79,False,P450 (e.g. CYP17),False,True,selleckchem_L1300
Neohesperidin,-8.89,,,-8.89,610.6,234.3,-1.16,1.5,False,ROS,False,True,selleckchem_L1300
